,RPT_DT,ADDR_PCT_CD,BORO_NM,KY_CD,LAW_CAT_CD,OFNS_DESC,PD_DESC,Lat_Lng
2,12/31/2018,73.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.67514616, -73.91800323]"
4,12/31/2018,5.0,MANHATTAN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.72151234, -73.99309647]"
5,12/31/2018,46.0,BRONX,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.85290843, -73.90934006]"
11,12/31/2018,104.0,QUEENS,106,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED","[40.69888553, -73.90695290000001]"
15,12/31/2018,63.0,BROOKLYN,106,FELONY,FELONY ASSAULT,STRANGULATION 1ST,"[40.62808613, -73.92933709]"
27,12/31/2018,77.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.67238431, -73.93912809]"
39,12/31/2018,43.0,BRONX,106,FELONY,FELONY ASSAULT,STRANGULATION 1ST,"[40.82447322, -73.88203047]"
40,12/31/2018,43.0,BRONX,106,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED","[40.82447322, -73.88203047]"
41,12/31/2018,43.0,BRONX,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.82447322, -73.88203047]"
43,12/31/2018,62.0,BROOKLYN,106,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED","[40.61704902, -74.00365384]"
45,12/31/2018,52.0,BRONX,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.86021787, -73.90971691]"
46,12/31/2018,47.0,BRONX,106,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED","[40.88275092, -73.85498149]"
48,12/31/2018,47.0,BRONX,106,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED","[40.8965041, -73.85904245]"
49,12/31/2018,52.0,BRONX,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.87986793, -73.88039168]"
52,12/31/2018,109.0,QUEENS,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,OBSTR BREATH/CIRCUL,"[40.74681745, -73.83390854]"
54,12/31/2018,23.0,MANHATTAN,106,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED","[40.79585589, -73.94787095]"
55,12/31/2018,14.0,MANHATTAN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.75002197, -73.99133946]"
62,12/31/2018,70.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.65217864, -73.96140762]"
72,12/31/2018,60.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.58949626, -73.98880033]"
77,12/31/2018,105.0,QUEENS,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.72024948, -73.7509035]"
78,12/31/2018,60.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.590974200000005, -73.97827563]"
79,12/31/2018,84.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.68848913, -73.98378242]"
85,12/31/2018,77.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED","[40.67066627, -73.95797591]"
86,12/31/2018,114.0,QUEENS,106,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED","[40.75524155, -73.9412397]"
88,12/31/2018,43.0,BRONX,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.83071199, -73.84909282]"
90,12/31/2018,5.0,MANHATTAN,106,FELONY,FELONY ASSAULT,"ASSAULT 2,1,UNCLASSIFIED","[40.7131437, -74.00405951]"
99,12/31/2018,70.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.65465678, -73.9602421]"
100,12/31/2018,79.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.69608631, -73.94643073]"
