,RPT_DT,ADDR_PCT_CD,BORO_NM,KY_CD,LAW_CAT_CD,OFNS_DESC,PD_DESC,Lat_Lng
60,12/31/2018,110.0,QUEENS,107,FELONY,BURGLARY,"BURGLARY,COMMERCIAL,NIGHT","[40.7599607, -73.84473376]"
112,12/31/2018,120.0,STATEN ISLAND,107,FELONY,BURGLARY,"BURGLARY,RESIDENCE,NIGHT","[40.62100643, -74.09803852]"
174,12/31/2018,105.0,QUEENS,107,FELONY,BURGLARY,"BURGLARY,RESIDENCE,DAY","[40.69776457, -73.73267808]"
215,12/31/2018,81.0,BROOKLYN,107,FELONY,BURGLARY,"BURGLARY,TRUCK DAY","[40.69495311, -73.93162466]"
308,12/31/2018,79.0,BROOKLYN,107,FELONY,BURGLARY,"BURGLARY,TRUCK DAY","[40.68068943, -73.94338211]"
381,12/31/2018,71.0,BROOKLYN,107,FELONY,BURGLARY,"BURGLARY,RESIDENCE,DAY","[40.66622179, -73.94945376]"
384,12/31/2018,47.0,BRONX,107,FELONY,BURGLARY,"BURGLARY,RESIDENCE,DAY","[40.89463418, -73.85839535]"
458,12/31/2018,105.0,QUEENS,107,FELONY,BURGLARY,"BURGLARY,RESIDENCE,DAY","[40.70892478, -73.74723426]"
527,12/31/2018,34.0,MANHATTAN,107,FELONY,BURGLARY,"BURGLARY,RESIDENCE,NIGHT","[40.85399337, -73.9348844]"
531,12/31/2018,34.0,MANHATTAN,107,FELONY,BURGLARY,"BURGLARY,RESIDENCE,NIGHT","[40.853659, -73.93574504]"
537,12/31/2018,14.0,MANHATTAN,107,FELONY,BURGLARY,"BURGLARY,COMMERCIAL,NIGHT","[40.75626621, -73.99050125]"
567,12/31/2018,90.0,BROOKLYN,107,FELONY,BURGLARY,"BURGLARY,RESIDENCE,NIGHT","[40.70420726, -73.9507378]"
614,12/31/2018,107.0,QUEENS,107,FELONY,BURGLARY,"BURGLARY,RESIDENCE,NIGHT","[40.73532317, -73.82335384]"
633,12/31/2018,69.0,BROOKLYN,107,FELONY,BURGLARY,"BURGLARY,COMMERCIAL,NIGHT","[40.63576575, -73.91289575]"
680,12/31/2018,9.0,MANHATTAN,107,FELONY,BURGLARY,"BURGLARY,UNCLASSIFIED,NIGHT","[40.72135999, -73.98084865]"
707,12/31/2018,19.0,MANHATTAN,107,FELONY,BURGLARY,"BURGLARY,COMMERCIAL,NIGHT","[40.7798435, -73.95533975]"
739,12/31/2018,107.0,QUEENS,107,FELONY,BURGLARY,"BURGLARY,RESIDENCE,NIGHT","[40.73368799, -73.8238056]"
816,12/31/2018,14.0,MANHATTAN,107,FELONY,BURGLARY,"BURGLARY,COMMERCIAL,DAY","[40.75531671, -73.99305326]"
818,12/31/2018,28.0,MANHATTAN,107,FELONY,BURGLARY,"BURGLARY,RESIDENCE,NIGHT","[40.80776038, -73.94334627]"
819,12/31/2018,23.0,MANHATTAN,107,FELONY,BURGLARY,"BURGLARY,COMMERCIAL,NIGHT","[40.78775738, -73.94454776]"
824,12/31/2018,17.0,MANHATTAN,107,FELONY,BURGLARY,"BURGLARY,RESIDENCE,NIGHT","[40.75751565, -73.96505723]"
825,12/31/2018,60.0,BROOKLYN,107,FELONY,BURGLARY,"BURGLARY,RESIDENCE,NIGHT","[40.58122211, -73.95890339]"
828,12/31/2018,68.0,BROOKLYN,107,FELONY,BURGLARY,"BURGLARY,COMMERCIAL,NIGHT","[40.62496505, -73.99901078]"
834,12/31/2018,44.0,BRONX,107,FELONY,BURGLARY,"BURGLARY,TRUCK DAY","[40.83778162, -73.91945797]"
843,12/31/2018,120.0,STATEN ISLAND,107,FELONY,BURGLARY,"BURGLARY,RESIDENCE,UNKNOWN TIM","[40.63412615, -74.11614433]"
865,12/31/2018,108.0,STATEN ISLAND,107,FELONY,BURGLARY,"BURGLARY,COMMERCIAL,UNKNOWN TI","[40.74296235, -73.95527425]"
867,12/31/2018,79.0,BROOKLYN,107,FELONY,BURGLARY,"BURGLARY,COMMERCIAL,UNKNOWN TI","[40.68288272, -73.94382012]"
868,12/31/2018,49.0,BRONX,107,FELONY,BURGLARY,"BURGLARY,UNKNOWN TIME","[40.85366969, -73.86773281]"
873,12/31/2018,107.0,QUEENS,107,FELONY,BURGLARY,"BURGLARY,COMMERCIAL,UNKNOWN TI","[40.73655304, -73.81475528]"
907,12/31/2018,102.0,QUEENS,107,FELONY,BURGLARY,"BURGLARY,RESIDENCE,DAY","[40.68588179, -73.84034865]"
932,12/31/2018,84.0,BROOKLYN,107,FELONY,BURGLARY,"BURGLARY,COMMERCIAL,UNKNOWN TI","[40.68820891, -73.98205891]"
943,12/31/2018,94.0,BROOKLYN,107,FELONY,BURGLARY,"BURGLARY,COMMERCIAL,NIGHT","[40.71409041, -73.95566156]"
954,12/31/2018,43.0,BRONX,107,FELONY,BURGLARY,"BURGLARY,RESIDENCE,UNKNOWN TIM","[40.81837691, -73.84472754]"
1057,12/30/2018,81.0,BROOKLYN,107,FELONY,BURGLARY,"BURGLARY,RESIDENCE,NIGHT","[40.67738607, -73.91824564]"
1119,12/30/2018,18.0,MANHATTAN,107,FELONY,BURGLARY,"BURGLARY,COMMERCIAL,NIGHT","[40.75739607, -73.98225685]"
1122,12/30/2018,7.0,MANHATTAN,107,FELONY,BURGLARY,"BURGLARY,RESIDENCE,NIGHT","[40.71917906, -73.98997262]"
