,RPT_DT,ADDR_PCT_CD,BORO_NM,KY_CD,LAW_CAT_CD,OFNS_DESC,PD_DESC,Lat_Lng
14,12/31/2018,122.0,STATEN ISLAND,347,MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL","[40.55189654, -74.16786604]"
22,12/31/2018,122.0,STATEN ISLAND,347,MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL","[40.5737939, -74.10642477]"
94,12/31/2018,49.0,BRONX,347,MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL","[40.86616179999999, -73.86154359]"
111,12/31/2018,110.0,QUEENS,347,MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL","[40.74542959, -73.86868753]"
122,12/31/2018,49.0,BRONX,119,FELONY,INTOXICATED/IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL","[40.86117259, -73.85757003]"
126,12/31/2018,81.0,BROOKLYN,347,MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL","[40.67702625, -73.92181884]"
130,12/31/2018,25.0,MANHATTAN,347,MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL","[40.7878746, -73.92818165]"
150,12/31/2018,121.0,STATEN ISLAND,347,MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL","[40.62139395, -74.16860637]"
222,12/31/2018,104.0,QUEENS,347,MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL","[40.72457176, -73.90123477]"
535,12/31/2018,67.0,BROOKLYN,347,MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL","[40.64097285, -73.92923336]"
542,12/31/2018,34.0,MANHATTAN,347,MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL","[40.86764197, -73.91659083]"
545,12/31/2018,60.0,BROOKLYN,347,MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL","[40.57554592, -73.97964135]"
558,12/31/2018,67.0,BROOKLYN,347,MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL","[40.65884664, -73.92045973]"
560,12/31/2018,113.0,QUEENS,347,MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL","[40.68149884, -73.76532949]"
575,12/31/2018,77.0,BROOKLYN,347,MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL","[40.67565856, -73.94995854]"
600,12/31/2018,122.0,STATEN ISLAND,347,MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL","[40.55130045, -74.15037256]"
607,12/31/2018,69.0,BROOKLYN,347,MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL","[40.63082941, -73.88635738]"
682,12/31/2018,115.0,QUEENS,347,MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL","[40.75014706, -73.88059571]"
683,12/31/2018,49.0,BRONX,347,MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL","[40.86285361, -73.83198825]"
685,12/31/2018,123.0,STATEN ISLAND,347,MISDEMEANOR,INTOXICATED & IMPAIRED DRIVING,"INTOXICATED DRIVING,ALCOHOL","[40.51536624, -74.20476432]"
