,RPT_DT,ADDR_PCT_CD,BORO_NM,KY_CD,LAW_CAT_CD,OFNS_DESC,PD_DESC,Lat_Lng
8732,12/23/2018,103.0,QUEENS,103,FELONY,"HOMICIDE-NEGLIGENT,UNCLASSIFIE","HOMICIDE,NEGLIGENT,UNCLASSIFIE","[40.69878417, -73.80266339]"
8733,12/23/2018,103.0,QUEENS,103,FELONY,"HOMICIDE-NEGLIGENT,UNCLASSIFIE","HOMICIDE,NEGLIGENT,UNCLASSIFIE","[40.69878417, -73.80266339]"
10427,12/22/2018,72.0,BROOKLYN,350,MISDEMEANOR,GAMBLING,"GAMBLING 2,PROMOTING,UNCLASSIF","[40.64031898, -74.00992833]"
10922,12/21/2018,79.0,BROOKLYN,350,MISDEMEANOR,GAMBLING,"GAMBLING 2,PROMOTING,UNCLASSIF","[40.6983125, -73.9531476]"
11980,12/20/2018,72.0,BROOKLYN,350,MISDEMEANOR,GAMBLING,"GAMBLING 2,PROMOTING,UNCLASSIF","[40.64234773, -74.00422816]"
15078,12/18/2018,75.0,BROOKLYN,356,MISDEMEANOR,PROSTITUTION & RELATED OFFENSES,PROSTITUTION,"[40.65621354, -73.88668896]"
19422,12/14/2018,67.0,BROOKLYN,115,FELONY,PROSTITUTION & RELATED OFFENSES,"PROSTITUTION 3, PROMOTING UNDE","[40.652463899999994, -73.93628118]"
36199,12/1/2018,72.0,BROOKLYN,350,MISDEMEANOR,GAMBLING,"GAMBLING 2,PROMOTING,UNCLASSIF","[40.641612, -74.00679005]"
36623,11/30/2018,72.0,BROOKLYN,350,MISDEMEANOR,GAMBLING,"GAMBLING 2,PROMOTING,UNCLASSIF","[40.63842795, -74.00831025]"
36658,11/30/2018,72.0,BROOKLYN,350,MISDEMEANOR,GAMBLING,"GAMBLING 2,PROMOTING,UNCLASSIF","[40.64066784, -74.00597923]"
38971,11/29/2018,104.0,QUEENS,115,FELONY,PROSTITUTION & RELATED OFFENSES,SEX TRAFFICKING,"[40.70426739, -73.89355376]"
46575,11/22/2018,108.0,QUEENS,103,FELONY,"HOMICIDE-NEGLIGENT,UNCLASSIFIE","HOMICIDE,NEGLIGENT,UNCLASSIFIE","[40.74360542, -73.92098647]"
47068,11/21/2018,72.0,BROOKLYN,350,MISDEMEANOR,GAMBLING,"GAMBLING 2,PROMOTING,UNCLASSIF","[40.64311887, -74.00701722]"
61360,11/9/2018,81.0,BROOKLYN,350,MISDEMEANOR,GAMBLING,"GAMBLING 2,PROMOTING,UNCLASSIF","[40.67917055, -73.92696113]"
63884,11/7/2018,52.0,BRONX,350,MISDEMEANOR,GAMBLING,"GAMBLING 2,PROMOTING,UNCLASSIF","[40.86275837, -73.90493406]"
67600,11/4/2018,24.0,MANHATTAN,350,MISDEMEANOR,GAMBLING,"GAMBLING 2,PROMOTING,UNCLASSIF","[40.79762144, -73.96406823]"
69467,11/3/2018,75.0,BROOKLYN,350,MISDEMEANOR,GAMBLING,"GAMBLING 2,PROMOTING,UNCLASSIF","[40.67281467, -73.87167483]"
70214,11/2/2018,46.0,BRONX,350,MISDEMEANOR,GAMBLING,"GAMBLING 2,PROMOTING,UNCLASSIF","[40.86235854, -73.89641347]"
70713,11/2/2018,114.0,QUEENS,350,MISDEMEANOR,GAMBLING,"GAMBLING 2,PROMOTING,UNCLASSIF","[40.75627543, -73.94501433]"
71399,11/1/2018,75.0,BROOKLYN,350,MISDEMEANOR,GAMBLING,"GAMBLING 2,PROMOTING,UNCLASSIF","[40.66739018, -73.87094991]"
72881,10/31/2018,60.0,BROOKLYN,356,MISDEMEANOR,PROSTITUTION & RELATED OFFENSES,"PROSTITUTION, PATRONIZING 4, 3","[40.57503125, -73.98988267]"
73108,10/31/2018,79.0,BROOKLYN,350,MISDEMEANOR,GAMBLING,"GAMBLING 2,PROMOTING,UNCLASSIF","[40.67897137, -73.94964959999999]"
80038,10/26/2018,83.0,BROOKLYN,115,FELONY,PROSTITUTION & RELATED OFFENSES,SEX TRAFFICKING,"[40.69796352, -73.91808336]"
87235,10/20/2018,66.0,BROOKLYN,350,MISDEMEANOR,GAMBLING,"GAMBLING, DEVICE, POSSESSION","[40.62572502, -73.99104938]"
87686,10/19/2018,32.0,MANHATTAN,103,FELONY,"HOMICIDE-NEGLIGENT,UNCLASSIFIE","HOMICIDE,NEGLIGENT,UNCLASSIFIE","[40.82746261, -73.93919219]"
87831,10/19/2018,73.0,BROOKLYN,350,MISDEMEANOR,GAMBLING,"GAMBLING 2,PROMOTING,UNCLASSIF","[40.67257395, -73.91017640000001]"
89191,10/18/2018,23.0,MANHATTAN,350,MISDEMEANOR,GAMBLING,"GAMBLING 2,PROMOTING,UNCLASSIF","[40.78858677, -73.94556544]"
91696,10/16/2018,67.0,BROOKLYN,350,MISDEMEANOR,GAMBLING,"GAMBLING 2, PROMOTING, POLICY-","[40.6466539, -73.95525592]"
94628,10/14/2018,75.0,BROOKLYN,115,FELONY,PROSTITUTION & RELATED OFFENSES,SEX TRAFFICKING,"[40.67110691, -73.88143296]"
94903,10/14/2018,81.0,BROOKLYN,350,MISDEMEANOR,GAMBLING,"GAMBLING 2,PROMOTING,UNCLASSIF","[40.69313864, -73.93608725]"
94994,10/14/2018,73.0,BROOKLYN,103,FELONY,"HOMICIDE-NEGLIGENT,UNCLASSIFIE","HOMICIDE,NEGLIGENT,UNCLASSIFIE","[40.67511643, -73.90437596]"
96011,10/13/2018,73.0,BROOKLYN,350,MISDEMEANOR,GAMBLING,"GAMBLING 2,PROMOTING,UNCLASSIF","[40.66369904, -73.91991687]"
103058,10/7/2018,79.0,BROOKLYN,350,MISDEMEANOR,GAMBLING,"GAMBLING 2,PROMOTING,UNCLASSIF","[40.68815412, -73.94685538]"
103066,10/7/2018,67.0,BROOKLYN,356,MISDEMEANOR,PROSTITUTION & RELATED OFFENSES,"PROSTITUTION, PATRONIZING 4, 3","[40.65126006, -73.94962006]"
105049,10/6/2018,47.0,BRONX,356,MISDEMEANOR,PROSTITUTION & RELATED OFFENSES,"PROSTITUTION, PATRONIZING 4, 3","[40.88218416, -73.82986362]"
105062,10/6/2018,47.0,BRONX,356,MISDEMEANOR,PROSTITUTION & RELATED OFFENSES,"PROSTITUTION, PATRONIZING 4, 3","[40.88218416, -73.82986362]"
105078,10/6/2018,47.0,BRONX,356,MISDEMEANOR,PROSTITUTION & RELATED OFFENSES,"PROSTITUTION, PATRONIZING 4, 3","[40.88218416, -73.82986362]"
105551,10/5/2018,111.0,QUEENS,350,MISDEMEANOR,GAMBLING,"GAMBLING, DEVICE, POSSESSION","[40.76790125, -73.79091698]"
428445,1/30/2018,103.0,QUEENS,115,FELONY,PROSTITUTION & RELATED OFFENSES,"PROSTITUTION 3,PROMOTING BUSIN","[40.69178125, -73.79273151]"
434667,1/25/2018,79.0,BROOKLYN,122,FELONY,GAMBLING,"GAMBLING 1,PROMOTING,BOOKMAKIN","[40.69252938, -73.94138873]"
434977,1/25/2018,113.0,QUEENS,115,FELONY,PROSTITUTION & RELATED OFFENSES,"PROSTITUTION 3,PROMOTING BUSIN","[40.67819896, -73.80143001]"
438649,1/23/2018,48.0,BRONX,115,FELONY,PROSTITUTION & RELATED OFFENSES,SEX TRAFFICKING,"[40.84390126, -73.90050463]"
451211,1/12/2018,28.0,MANHATTAN,350,MISDEMEANOR,GAMBLING,"GAMBLING 2,PROMOTING,UNCLASSIF","[40.79814609, -73.95035767]"
452260,1/11/2018,113.0,QUEENS,115,FELONY,PROSTITUTION & RELATED OFFENSES,SEX TRAFFICKING,"[40.67970041, -73.77604737]"
452261,1/11/2018,113.0,QUEENS,115,FELONY,PROSTITUTION & RELATED OFFENSES,SEX TRAFFICKING,"[40.67970041, -73.77604737]"
456339,1/8/2018,41.0,BRONX,350,MISDEMEANOR,GAMBLING,"GAMBLING 2,PROMOTING,UNCLASSIF","[40.81724436, -73.888279]"
460730,1/3/2018,79.0,BROOKLYN,350,MISDEMEANOR,GAMBLING,"GAMBLING 2,PROMOTING,UNCLASSIF","[40.69252938, -73.94138873]"
