,RPT_DT,ADDR_PCT_CD,BORO_NM,KY_CD,LAW_CAT_CD,OFNS_DESC,PD_DESC,Lat_Lng
735,12/31/2018,47.0,BRONX,124,FELONY,KIDNAPPING & RELATED OFFENSES,CUSTODIAL INTERFERENCE 1,"[40.87800313, -73.84689175]"
2148,12/29/2018,73.0,BROOKLYN,124,FELONY,KIDNAPPING & RELATED OFFENSES,KIDNAPPING 2,"[40.67016824, -73.91572749]"
11564,12/21/2018,34.0,MANHATTAN,124,FELONY,KIDNAPPING & RELATED OFFENSES,"IMPRISONMENT 1,UNLAWFUL","[40.86619059, -73.9254397]"
12758,12/20/2018,75.0,BROOKLYN,124,FELONY,KIDNAPPING & RELATED OFFENSES,KIDNAPPING 2,"[40.67550351, -73.88915094]"
18302,12/15/2018,61.0,BROOKLYN,124,FELONY,KIDNAPPING & RELATED OFFENSES,"IMPRISONMENT 1,UNLAWFUL","[40.58674141, -73.94462826]"
18479,12/15/2018,104.0,QUEENS,124,FELONY,KIDNAPPING & RELATED OFFENSES,KIDNAPPING 2,"[40.69901934, -73.90279814]"
22241,12/12/2018,114.0,QUEENS,124,FELONY,KIDNAPPING & RELATED OFFENSES,KIDNAPPING 2,"[40.75441786, -73.91829908]"
33999,12/3/2018,47.0,BRONX,124,FELONY,KIDNAPPING & RELATED OFFENSES,KIDNAPPING 2,"[40.87305779, -73.84734428]"
36911,11/30/2018,44.0,BRONX,124,FELONY,KIDNAPPING & RELATED OFFENSES,CUSTODIAL INTERFERENCE 1,"[40.83778162, -73.91945797]"
42617,11/26/2018,75.0,BROOKLYN,124,FELONY,KIDNAPPING,LURING A CHILD,"[40.66434215, -73.89683992]"
45862,11/23/2018,33.0,MANHATTAN,124,FELONY,KIDNAPPING & RELATED OFFENSES,"IMPRISONMENT 1,UNLAWFUL","[40.84097499, -73.93950511]"
46083,11/23/2018,47.0,BRONX,124,FELONY,KIDNAPPING & RELATED OFFENSES,KIDNAPPING 1,"[40.87285275, -73.85218635]"
46936,11/21/2018,48.0,BRONX,124,FELONY,KIDNAPPING & RELATED OFFENSES,"IMPRISONMENT 1,UNLAWFUL","[40.84549511, -73.89344343]"
51180,11/18/2018,75.0,BROOKLYN,124,FELONY,KIDNAPPING & RELATED OFFENSES,KIDNAPPING 2,"[40.67281467, -73.87167483]"
61362,11/9/2018,103.0,QUEENS,124,FELONY,KIDNAPPING & RELATED OFFENSES,"IMPRISONMENT 1,UNLAWFUL","[40.70330159, -73.79609315]"
63571,11/8/2018,107.0,QUEENS,124,FELONY,KIDNAPPING & RELATED OFFENSES,KIDNAPPING 2,"[40.728379100000005, -73.80314942]"
71595,11/1/2018,50.0,BRONX,124,FELONY,KIDNAPPING,LURING A CHILD,"[40.87746629, -73.90719478]"
72730,11/1/2018,18.0,MANHATTAN,124,FELONY,KIDNAPPING & RELATED OFFENSES,"IMPRISONMENT 1,UNLAWFUL","[40.76531844, -73.99133386]"
76753,10/29/2018,20.0,MANHATTAN,124,FELONY,KIDNAPPING & RELATED OFFENSES,CUSTODIAL INTERFERENCE 1,"[40.7778968, -73.98401701]"
85680,10/21/2018,46.0,BRONX,124,FELONY,KIDNAPPING & RELATED OFFENSES,CUSTODIAL INTERFERENCE 1,"[40.84893842, -73.91882638]"
86294,10/21/2018,26.0,MANHATTAN,124,FELONY,KIDNAPPING & RELATED OFFENSES,"IMPRISONMENT 1,UNLAWFUL","[40.8090129, -73.95841958]"
86493,10/20/2018,101.0,QUEENS,124,FELONY,KIDNAPPING & RELATED OFFENSES,"IMPRISONMENT 1,UNLAWFUL","[40.6083028, -73.74818428]"
92157,10/16/2018,73.0,BROOKLYN,124,FELONY,KIDNAPPING & RELATED OFFENSES,KIDNAPPING 2,"[40.6795247, -73.90457154]"
93095,10/15/2018,120.0,STATEN ISLAND,124,FELONY,KIDNAPPING & RELATED OFFENSES,CUSTODIAL INTERFERENCE 1,"[40.63433919, -74.11983768]"
93492,10/15/2018,47.0,BRONX,124,FELONY,KIDNAPPING & RELATED OFFENSES,"IMPRISONMENT 1,UNLAWFUL","[40.88358821, -73.8271875]"
94630,10/14/2018,75.0,BROOKLYN,124,FELONY,KIDNAPPING & RELATED OFFENSES,KIDNAPPING 2,"[40.65662597, -73.89026354]"
95095,10/14/2018,115.0,QUEENS,124,FELONY,KIDNAPPING & RELATED OFFENSES,KIDNAPPING 2,"[40.75185084, -73.86271959]"
95755,10/13/2018,33.0,MANHATTAN,124,FELONY,KIDNAPPING & RELATED OFFENSES,KIDNAPPING 1,"[40.84577652, -73.93632734]"
104370,10/6/2018,60.0,BROOKLYN,124,FELONY,KIDNAPPING & RELATED OFFENSES,"IMPRISONMENT 1,UNLAWFUL","[40.57534455, -73.99644131]"
107838,10/4/2018,28.0,MANHATTAN,124,FELONY,KIDNAPPING & RELATED OFFENSES,CUSTODIAL INTERFERENCE 1,"[40.80708541, -73.94383088]"
111556,10/1/2018,122.0,STATEN ISLAND,124,FELONY,KIDNAPPING,LURING A CHILD,"[40.56409704, -74.14804754]"
430173,1/29/2018,107.0,QUEENS,124,FELONY,KIDNAPPING & RELATED OFFENSES,"IMPRISONMENT 1,UNLAWFUL","[40.73023433, -73.81289302]"
435498,1/25/2018,73.0,BROOKLYN,124,FELONY,KIDNAPPING & RELATED OFFENSES,KIDNAPPING 2,"[40.6596272, -73.90719147]"
439654,1/22/2018,46.0,BRONX,124,FELONY,KIDNAPPING & RELATED OFFENSES,"IMPRISONMENT 1,UNLAWFUL","[40.85779531, -73.89776536]"
441415,1/20/2018,40.0,BRONX,124,FELONY,KIDNAPPING & RELATED OFFENSES,CUSTODIAL INTERFERENCE 1,"[40.81606827, -73.90855208]"
444933,1/18/2018,47.0,BRONX,124,FELONY,KIDNAPPING & RELATED OFFENSES,"IMPRISONMENT 1,UNLAWFUL","[40.88615874, -73.86307514]"
447928,1/15/2018,62.0,BROOKLYN,124,FELONY,KIDNAPPING & RELATED OFFENSES,"IMPRISONMENT 1,UNLAWFUL","[40.60439281, -73.99788388]"
458852,1/6/2018,52.0,BRONX,124,FELONY,KIDNAPPING & RELATED OFFENSES,"IMPRISONMENT 1,UNLAWFUL","[40.87932687, -73.87487797]"
458985,1/5/2018,107.0,QUEENS,124,FELONY,KIDNAPPING & RELATED OFFENSES,"IMPRISONMENT 1,UNLAWFUL","[40.73514257, -73.80661512]"
461656,1/3/2018,70.0,BROOKLYN,124,FELONY,KIDNAPPING & RELATED OFFENSES,CUSTODIAL INTERFERENCE 1,"[40.62911981, -73.94782826]"
