,RPT_DT,ADDR_PCT_CD,BORO_NM,KY_CD,LAW_CAT_CD,OFNS_DESC,PD_DESC,Lat_Lng
2,12/31/2018,73.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.67514616, -73.91800323]"
4,12/31/2018,5.0,MANHATTAN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.72151234, -73.99309647]"
5,12/31/2018,46.0,BRONX,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.85290843, -73.90934006]"
12,12/31/2018,104.0,QUEENS,359,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,VIOLATION OF ORDER OF PROTECTI,"[40.69888553, -73.90695290000001]"
27,12/31/2018,77.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.67238431, -73.93912809]"
41,12/31/2018,43.0,BRONX,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.82447322, -73.88203047]"
45,12/31/2018,52.0,BRONX,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.86021787, -73.90971691]"
49,12/31/2018,52.0,BRONX,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.87986793, -73.88039168]"
52,12/31/2018,109.0,QUEENS,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,OBSTR BREATH/CIRCUL,"[40.74681745, -73.83390854]"
55,12/31/2018,14.0,MANHATTAN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.75002197, -73.99133946]"
62,12/31/2018,70.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.65217864, -73.96140762]"
68,12/31/2018,20.0,MANHATTAN,359,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,VIOLATION OF ORDER OF PROTECTI,"[40.77321755, -73.98846616]"
72,12/31/2018,60.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.58949626, -73.98880033]"
77,12/31/2018,105.0,QUEENS,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.72024948, -73.7509035]"
78,12/31/2018,60.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.590974200000005, -73.97827563]"
79,12/31/2018,84.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.68848913, -73.98378242]"
85,12/31/2018,77.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED","[40.67066627, -73.95797591]"
88,12/31/2018,43.0,BRONX,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.83071199, -73.84909282]"
99,12/31/2018,70.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.65465678, -73.9602421]"
100,12/31/2018,79.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.69608631, -73.94643073]"
101,12/31/2018,28.0,MANHATTAN,359,MISDEMEANOR,OFFENSES AGAINST PUBLIC ADMINI,RESISTING ARREST,"[40.79861899, -73.95227518]"
127,12/31/2018,70.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.64336111, -73.95776609]"
128,12/31/2018,70.0,BROOKLYN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.64336111, -73.95776609]"
129,12/31/2018,7.0,MANHATTAN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.71803315, -73.97974574]"
132,12/31/2018,25.0,MANHATTAN,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,"MENACING,UNCLASSIFIED","[40.80339359, -73.93814501]"
138,12/31/2018,101.0,QUEENS,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,ASSAULT 3,"[40.60150183, -73.75355763]"
139,12/31/2018,52.0,BRONX,344,MISDEMEANOR,ASSAULT 3 & RELATED OFFENSES,OBSTR BREATH/CIRCUL,"[40.86402732, -73.89340651]"
