,RPT_DT,ADDR_PCT_CD,BORO_NM,KY_CD,LAW_CAT_CD,OFNS_DESC,PD_DESC,Lat_Lng
83,12/31/2018,43.0,BRONX,104,FELONY,RAPE,RAPE 1,"[40.8231013, -73.86969046]"
183,12/31/2018,23.0,MANHATTAN,104,FELONY,RAPE,"RAPE 1,ATTEMPT","[40.78926022, -73.94771]"
200,12/31/2018,10.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.7426993, -73.99865538]"
258,12/31/2018,47.0,BRONX,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.88745131, -73.84760779]"
260,12/31/2018,40.0,BRONX,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.81039602, -73.92531074]"
524,12/31/2018,10.0,MANHATTAN,104,FELONY,RAPE,RAPE 1,"[40.7426993, -73.99865538]"
530,12/31/2018,49.0,BRONX,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.85616296, -73.84439712]"
712,12/31/2018,49.0,BRONX,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.85616296, -73.84439712]"
887,12/31/2018,62.0,BROOKLYN,116,FELONY,SEX CRIMES,SEXUAL ABUSE,"[40.60260318, -74.00308766]"
899,12/31/2018,25.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.80069433, -73.94110929]"
928,12/31/2018,66.0,BROOKLYN,104,FELONY,RAPE,RAPE 1,"[40.62576896, -73.99141682]"
934,12/31/2018,52.0,BRONX,116,FELONY,SEX CRIMES,AGGRAVATED SEXUAL ASBUSE,"[40.86905853, -73.87963015]"
950,12/31/2018,70.0,BROOKLYN,116,FELONY,SEX CRIMES,SODOMY 1,"[40.63036655, -73.97371261]"
987,12/31/2018,62.0,BROOKLYN,104,FELONY,RAPE,RAPE 1,"[40.60260318, -74.00308766]"
1033,12/31/2018,46.0,BRONX,116,FELONY,SEX CRIMES,SODOMY 1,"[40.85396027, -73.90012087]"
1034,12/31/2018,107.0,QUEENS,116,FELONY,SEX CRIMES,SODOMY 1,"[40.72993936, -73.81043314]"
1149,12/30/2018,120.0,STATEN ISLAND,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.64472613, -74.07748316]"
1278,12/30/2018,101.0,QUEENS,104,FELONY,RAPE,RAPE 1,"[40.60295159, -73.74997626]"
1333,12/30/2018,84.0,BROOKLYN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.69546894, -73.98282508]"
1344,12/30/2018,14.0,MANHATTAN,116,FELONY,SEX CRIMES,SODOMY 1,"[40.75393894, -73.99484365]"
1457,12/30/2018,101.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.60295159, -73.74997626]"
1458,12/30/2018,101.0,QUEENS,233,MISDEMEANOR,SEX CRIMES,"CHILD, ENDANGERING WELFARE","[40.60295159, -73.74997626]"
1521,12/30/2018,77.0,BROOKLYN,104,FELONY,RAPE,RAPE 1,"[40.67458331, -73.93022154]"
1524,12/30/2018,75.0,BROOKLYN,104,FELONY,RAPE,RAPE 1,"[40.67110691, -73.88143296]"
1554,12/30/2018,34.0,MANHATTAN,233,MISDEMEANOR,SEX CRIMES,"SEXUAL ABUSE 3,2","[40.85148777, -73.93545797]"
1607,12/30/2018,84.0,BROOKLYN,104,FELONY,RAPE,RAPE 3,"[40.69546894, -73.98282508]"
