,Zipcode,Precinct
0,10279,"1 Precinct, Sector C"
1,10280,"1 Precinct, Sector B"
2,10281,"1 Precinct, Sector C"
3,10282,"1 Precinct, Sector C"
4,10285,"1 Precinct, Sector C"
5,10286,"1 Precinct, Sector A"
6,10301,"120 Precinct, Sector B"
7,10302,"121 Precinct, Sector B"
8,10303,"121 Precinct, Sector A"
9,10304,"120 Precinct, Sector D"
10,10305,"122 Precinct, Sector C"
11,10306,"122 Precinct, Sector A"
12,10307,"123 Precinct, Sector B"
13,10308,"122 Precinct, Sector A"
14,10309,"123 Precinct, Sector A"
15,10310,"120 Precinct, Sector A"
16,10312,"123 Precinct, Sector C"
17,10314,"121 Precinct, Sector C"
18,11354,"109 Precinct, Sector C"
19,11355,"109 Precinct, Sector A"
20,11356,"109 Precinct, Sector C"
21,11357,"109 Precinct, Sector D"
22,11358,"109 Precinct, Sector D"
23,11360,"109 Precinct, Sector D"
24,11361,"111 Precinct, Sector D"
25,11364,"111 Precinct, Sector A"
26,11365,"111 Precinct, Sector C"
27,11366,"107 Precinct, Sector A"
28,11367,"107 Precinct, Sector D"
29,11368,"110 Precinct, Sector D"
30,11369,"115 Precinct, Sector A"
31,11370,"114 Precinct, Sector B"
32,11371,"115 Precinct, Sector A"
33,11372,"115 Precinct, Sector C"
34,11373,"110 Precinct, Sector A"
35,11374,"112 Precinct, Sector B"
36,11375,"112 Precinct, Sector A"
37,11377,"108 Precinct, Sector C"
38,11378,"104 Precinct, Sector C"
39,11379,"104 Precinct, Sector D"
40,11385,"104 Precinct, Sector B"
41,11411,"105 Precinct, Sector C"
42,11412,"113 Precinct, Sector D"
43,11413,"105 Precinct, Sector B"
44,11414,"106 Precinct, Sector A"
45,11415,"102 Precinct, Sector C"
46,11416,"102 Precinct, Sector B"
47,11417,"106 Precinct, Sector B"
48,11418,"102 Precinct, Sector A"
49,11419,"102 Precinct, Sector A"
