,Zipcode,Precinct
0,11203,"67 Precinct, Sector D"
1,11204,"62 Precinct, Sector A"
2,11205,"79 Precinct, Sector D"
3,11206,"90 Precinct, Sector C"
4,11207,"75 Precinct, Sector B"
5,11208,"75 Precinct, Sector C"
6,11209,"68 Precinct, Sector A"
7,11210,"63 Precinct, Sector B"
8,11211,"94 Precinct, Sector B"
9,11212,"73 Precinct, Sector D"
10,11213,"77 Precinct, Sector C"
11,11214,"62 Precinct, Sector C"
12,11215,"78 Precinct, Sector B"
13,11216,"79 Precinct, Sector A"
14,11217,"84 Precinct, Sector D"
15,11218,"66 Precinct, Sector D"
16,11219,"66 Precinct, Sector C"
17,11220,"72 Precinct, Sector D"
18,11221,"83 Precinct, Sector C"
19,11222,"94 Precinct, Sector C"
20,11223,"62 Precinct, Sector D"
21,11224,"60 Precinct, Sector D"
22,11225,"71 Precinct, Sector C"
23,11226,"70 Precinct, Sector D"
24,11228,"68 Precinct, Sector B"
25,11229,"61 Precinct, Sector C"
26,11230,"66 Precinct, Sector A"
27,11231,"76 Precinct, Sector C"
28,11232,"72 Precinct, Sector B"
29,11233,"81 Precinct, Sector D"
30,11234,"63 Precinct, Sector C"
31,11235,"61 Precinct, Sector D"
32,11236,"69 Precinct, Sector C"
33,11237,"90 Precinct, Sector D"
34,11238,"77 Precinct, Sector A"
35,11239,"75 Precinct, Sector E"
36,11249,"90 Precinct, Sector A"
